हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
अनेक कविसंमेलने व उर्दू-मराठी मिश्र मुशायऱ्यांत सहभाग.	anek kavisamelane va urdu-marathi mishra mushayryat sahabhag.
या चळवळीचा एक भाग म्हणून जलसाक्षरता संवादयात्रापण काढण्यात येते.	ya chalvalicha ek bhag mhanun jalsaksharta sanwadyatrapan kadhnyat yete.
स्वेर्दलोव्स्क ओब्लास्त	Sverdlovsk Oblast
अफलातुन	aflatoon
निरनिराळ्या प्राकृत भाषेपासूनच पुढे मराठी भाषेची निर्मिती झाली.	nirniralya prakrut bhashepasunach pudhe marathi bhashechi nirmiti zali.
पालकनीती"	palakniti"
तोलेदोने त्याच्या कार्यकाळात जगातील अनेक देशांसोबत पेरूचे सलोख्याचे संबंध प्रस्थापित केले.	Toledone tyachya karyakalat jagatil anek deshansobat Peruche salokhyane sambandha prasthapit kele.
बेबी नंदा	Baby Nanda
चौदहवी का चाँद	chaudahvi ka chand
या चित्रपटाचा इ.	ya chitrapatacha I.
सगळ्या खोल्यांमध्ये मिनी बार, खाजगी बाथरूम, रंगीत टीव्ही, टेलिफोन, फ्रीज, हेअर ड्रायर, आणि वृत्तपत्र असतात.	saglya kholyanmadhye mini bar, khajgi bathroom, rangeet TV, telephone, fridge, hair dryer, ani vruttapatra astat.
क्रांति साडेकर (गझल संग्रह : असेही तसेही), (काव्य संग्रह: अग्निसखा)	Kranti Sadekar (gazal sangraha : asehi tasehi), (kavya sangraha: agnisakha)
सर्व महत्त्वाच्या अवयव विकसित होतात.	sarva mahatvachya avayav vikasit hotat.
वरील दुव्याची वेबॅक मशिनवरील आवृत्ती एप्रिल ४, २००४ (वरील दुव्यात त्रुटी जाणवल्याने वेबॅक मशिन वापरुन ही आवृत्ती मिळवलेली आहे.)	varil duvyachi Wayback machinvaril avrutti April 4, 2004 (varil duvyat truti janavlyane Wayback machine vaprun hi avrutti milavleli ahe.)
बापट हे मेलबोर्नमधील ऑस्ट्रेलियन इंडियन सोसायटी ऑफ व्हिक्टोरिया (AISV)चे संस्थापक सदस्य आहेत.	Bapat he Melbournemadhil Austalian Indian Society of Victoria (AISV)che sansthapak sadasya ahet.
वेदना संवेदना	vedna sanvedna
स्टोनले लाई हे एक प्रकारचे सीमावर्ती लहर (किंवा इंटरफेस लाईव्ह) आहे जे एक घन-द्रवपदार्थाच्या सीमारेषेवर पसरते किंवा विशिष्ट परिस्थितीनुसार, घन-घन सीमेवरही पसरते.	Stanley Lai ke ek prakarche seemavarti lahar (kivva interface live) ahe je ek ghan-dravpadarthachya seemareshevar pasarte kivva vishistha paristhitinusar, ghan-ghan seemevarahi pasarte.
एक महिन्यानंतर, तो त्याच स्पर्धेत आसाम विरुद्ध खेळला पण त्यावेळी त्याने केवळ १ धाव घेतली.	ek mahinyanantar, to tyach spardhet Assam virudha khella pan tyaveli tyane keval 1 dhav ghetli.
हा उजव्या हाताने फलंदाजी व त्याच हाताने गोलंदाजी करतो.	ha ujvya hatane falandaji va tyach hatane golandaji karto.
वानबेलिंग्श्वासेन इंग्रज एडर्वड ब्रान्सफिल्ड व अमेरिकन नाथानियल पामर यांची १८२० मध्ये सर्व प्रथम अंटार्क्टिका बघितल्याचा दावा.	vonBellingshausen Ingraj Edward Bransfield va American Nathaniel Palmer yanchi 1820 madhye sarva pratham Antarctica baghitlyacha daava.
हिमालयात ५,००० फुटापर्यंत व पाकिस्तान, बांगलादेश आणि श्रीलंकामध्ये निवासी असतात.	Himalayat 5,000 futaparyanta va Pakistan, Bangladesh ani SriLankamadhye nivasi astat.
उत्तर मुंबई (लोकसभा मतदारसंघ)	Uttar Mumbai (Loksabha matadarsangha)
गांधी जिवंत असताना लिहिलेले हे पहिले चरित्र आहे.	Gandhi jeevanta astana lihilele he pahile charitra ahe.
या एकेक तुकड्याला त्या त्या प्रकारच्या भूदृश्याचा अथवा जलदृश्याचा अंश अशी संज्ञा वापरतात.	ya ekek tukdyala tya tya prakarchya bhudrushyacha athva jaldrushyacha ansh ashi sandya vapartat.
महाराष्ट्रात बऱ्याच गावांलगत मोरांचा वावर आढळतो.	Maharashtrat baryach gavanlagat morancha vavar adhalto.
