हेपेटाइटिस-	hepatitis-
गावामध्ये	Gavamadhye
मारुती,	Maruti,
गणपती,	Ganpati,
विठ्ठल-रखुमाई	Vittal-Rakhumai
ही	hi
तीन	teen
मंदिर	mandir
आहेत.	ahet.
</s>	</s>
याची	yachi
राजधानी	rajdhani
मद्रास	Madras
(आताचे	(atache
चेन्नई)	Chennai)
येथे	yethe
होती.	hoti.
</s>	</s>
संदीप	Sandeep
पाठक	Pathak
</s>	</s>
बिदरच्या	Bidarchya
सुलतानांनी	Sultananni
आपल्या	aplya
माणसांच्या॒	mansanchya
चिरविश्रांतीसाठी	chirvishrantisathi
कल्पनेपलीकडचे	kalpanepalikadche
भव्य	bhavya
आणि	ani
नजाकतदार	najakatdar
मकबरे	makbare
उभारले.	ubharle.
</s>	</s>
मराठीच्या	Marathichya
उच्च	uccha
शिक्षणाची	shikshanachi
दशा	dasha
आणि	ani
दिशा	disha
</s>	</s>
जैन	Jain
मंदिर	mandir
पैठण	Paithan
</s>	</s>
मराठवाड्यातील	Marathwadyatil
डॉक्टर	Doctor
यू.	U.
</s>	</s>
आयुर्वेदीय	Ayurvedic
वनौषधी	vanaushadhi
</s>	</s>
हात	haat
आणि	ani
पायांची	payanchi
बोटे	bote
बारीक	barik
ओढून	odhun
ताणलेली	tanleli
</s>	</s>
सेंट	Saint
पॉल	Paul
(इतर	(itar
नावे:	nave:
पॉल	Paul
द	The
अपोस्टल,	Apostle,
पॉल	Paul
ऑफ	of
तार्सुस)	Tarsus)
हा	ha
एक	ek
प्राचीन	prachin
ख्रिश्चन	Christian
संत,	Sant,
प्रचारक	pracharak
व	va
लेखक	lekhak
होता.	hota.
</s>	</s>
साहित्य	Sahitya
सेवा	Seva
प्रकाशन,	Prakashan,
कीर्ती	Kirti
प्रकाशन	Prakashan
व	va
रजत	Rajat
प्रकाशनाने	Prakashnane
त्यांची	tyanchi
पुस्तके	pustake
प्रकाशित	prakashit
केली.	keli.
</s>	</s>
आनंद	anand
दर्पण	darpan
</s>	</s>
एका	eka
परग्रहवासियाकडून	paragrahavasiyakadun
रोहित	Rohit
मेहराला	Mehrala
(ॠतिक	(Hritik
रोशन)	Roshan)
मिळालेली	milaleli
अनैसर्गिक	anaisargik
शक्ती	shakti
कृष्णा	Krishna
मेहरा	Mehra
या	ya
त्याच्या	tyachya
मुलाकडेही	mulakadehi
येते.	yete.
</s>	</s>
हिंदू	Hindu
नववर्ष	Navvarsha
न्येपी	Nyepi
हे	he
वसंत	Vasant
ऋतू	rutu
मधील	madhil
एका	eka
दिवशी	divshi
शांतता	shantata
पाळून	palun
साजरे	sajre
केले	kele
जाते.	jate.
</s>	</s>
असे	ase
म्हटले	mhantle
जाते.	jate.
</s>	</s>
देवरुख	Devrukh
गावाजवळच	gavajawalach
एका	eka
पर्वतात	parvatat
टिकलेश्वर	Tikleshwar
हे	he
प्रसिद्ध	prasidha
शिवमंदिर	Shivmandir
आहे.	ahe.
</s>	</s>
लालू	Lalu
प्रसाद	Prasad
यादव	Yadav
यांना	yanna
रेल्वे	railway
मार्गाचे	margache
महत्त्व	mahatva
पटले.	patle.
</s>	</s>
भारतीय	Bharatiya
पंचायती	panchayati
राज	Raj
दिन	Din
</s>	</s>
पर्यटकांच्या	paryatakanchya
अतिरेकामुळे	atirekamule
येथील	yethil
४००	400
पैकी	paiki
२००	200
नद्या	nadya
आटल्या	aatlya
आहेत,	ahet,
पर्यटन	paryatan
व्यवसाय	vyavasay
इथला	ithla
मुख्य	mukhya
व्यवसाय	vyavasay
देखील	dekhil
आहे,आणि	ahe,ani
एका	eka
संशोधना	sanshodhana
अनुसार	anusar
बाली	Bali
च्या	chya
दक्षिणी	dakshini
भागात	bhagat
पाण्याच्या	panyachya
कमतरतेचा	kamtartecha
प्रश्न	prashna
देखील	dekhil
उदभवू	udbhavu
शकतो.	shakto.
</s>	</s>
पुढे	pudhe
धारवाड	Dharwad
येथे	yethe
ॲग्रिकल्चरल	Agricultural
महाविद्यालयात	Mahavidyalayat
ते	te
पूर्णवेळ	purnavel
प्राध्यापक	pradhyapak
म्हणून	mhanun
नोकरीस	nokris
लागले.	lagle.
</s>	</s>
काँगोच्या	Congochya
कटांगा	Katanga
प्रांतातील	prantatil
लढाईमध्ये	ladhaimadhye
निर्भयतेने	nirbhaytene
व	va
निःपक्षपातीपणे	nishpakshapatipane
काम	kam
केल्याबद्दल	kelyabaddal
कंपनीच्या	companychya
एका	eka
अधिकाऱ्याला	adhikaryala
वीरचक्र	Veerchakra
हे	he
सैनिकी	sainiki
पदक	padak
देण्यात	denyat
आले.	ale.
</s>	</s>
तसेच	tasech
इतर	itar
बँकातील	bankatil
काही	kahi
खातेदार	khatedar
या	ya
बँकेमधील	bankemadhil
लोकांना	lokanna
पैसे	paise
पाठवू	pathavu
शकतात.	shaktat.
</s>	</s>
युपो	UPO
</s>	</s>
ते	te
आपल्या	aplya
आजूबाजूलाच	ajubajulach
असतात	astat
पण	pan
आपण	apan
त्यांच्याकडे	tyanchyakade
फारसे	farse
लक्ष	laksha
देत	det
नाही.	nahi.
</s>	</s>
या	ya
वसाहतीचे	vasahatiche
उत्खनन	utkhanan
डॉ.	Dr.
</s>	</s>
माळेच्या	Malechya
मध्यभागी	madhyabhagi
बहुधा	bahudha
सोन्याचे	sonyache
चार	char
गोल	gol
मणी	mani
व	va
सोन्याच्या	sonyachya
दोन	don
लहान	lahan
वाट्या	vatya
बसविलेल्या	basvilelya
असतात.	astat.
</s>	</s>
येथील	yethil
संस्थानिक	sansthanik
नवाब	Nawab
ही	hi
पदवी	padvi
लावत	lavat
असत.	asat.
</s>	</s>
पोलिसांना	Polisanna
या	ya
गोष्टीची	goshtichi
खबर	khabar
लागताच	lagtach
सागर	Sagar
दुबईला	Dubaila
पळून	palun
गेला.	gela.
</s>	</s>
१७७२	1772
-	-
एखाद्या	ekhadya
गुलामाने	gulamane
इंग्लंडमध्ये	Englandmadhye
प्रवेश	pravesh
केला,	kela,
तर	tar
त्याला	tyala
स्वतंत्र	swatantra
नागरिक	nagrik
समजण्यात	samajnyat
येऊ	yeu
लागले.	larle.
</s>	</s>
अर्थात	arthat
दीर्घायुष्य	dirghayushya
देऊन	deun
माणसाला	mansala
म्हातारपणापर्यंत	mhatarpanaparyanta
जिवंत	jeevanta
राखणाऱ्या	rakhnarya
देवता!	Devta!
</s>	</s>
वीज	vij
प्रकल्प,	prakalpa,
जुने	june
कावसान	Kavsan
नाथसागर	Nathsagar
धरण	dharan
</s>	</s>
बाणभट्टाने	Banabhattane
भासाच्या	bhasachya
नाटकांची	natkanchi
मंदिरांशी	mandirashi
तुलना	tulana
करून	karun
त्यांची	tyanchi
वैशिष्ट्ये	vaishistye
नमूद	namud
केली	keli
आहेत.	ahet.
</s>	</s>
इ.स.	I.S.
२००६	2006
मध्ये	madhye
अमेरिकेच्या	Amerikechya
राष्ट्रीय	Rashtriya
विज्ञान	Vidnyan
अकादमीचे	Academyche
ते	te
परदेशी	pardeshi
सदस्य	sadasya
म्हणून	mhanun
निवडले	nivadle
गेले.	gele.
</s>	</s>
या	ya
काळात	kalat
जोसेफने	Josephne
हुशार	hushar
विद्यार्थी	vidyarthi
म्हणून	mhanun
नाव	nav
कमाविले.	kamavile.
</s>	</s>
आई-वडील	aai-vadil
नेहमी	nehmi
इंग्लिश	English
आणि	ani
यिडीश	Yiddish
भाषेत	bhashet
बोलत	bolat
असल्याने	aslyane
आयझॅक	Isaac
यांना	yanna
रशियन	Russian
भाषा	bhasha
येत	yet
नव्हती.	navhati.
</s>	</s>
मध्य	madhya
युगीन	yugin
काळात	kalat
पोलिश-लिथुएनियन	Polish-Lithuanian
राष्ट्रकुलाच्या	rashtrakulachya
तर	tar
इ.	I.
</s>	</s>
'ज्ञानदेवांचा	Dnyandevancha
गीतासंवाद'	Gitasanwad'
</s>	</s>
पुण्याजवळच	Punyajawalach
नाशिक	Nashik
रस्त्यावर	rastyawar
भंडार्‍याचा	Bhandaryacha
डोंगर	dongar
आहे.	ahe.
</s>	</s>
या	ya
गोदीत	godit
दरवर्षी	darvarshi
सु.	su.
</s>	</s>
जोशींना	Joshinna
सातार्‍याला	Sataryala
आणले	anle
व	va
पहिलीत	pahilit
घातले.	ghatle.
</s>	</s>
एकात्मता	ekatmata
स्तोत्रामधे	stotramadhe
भारतमातेचे	Bharatmateche
वर्णन	varnan
आले	aale
असून	asun
त्यामध्ये	tyamadhye
असे	ase
'हिमालय	'Himalay
हा	ha
जिचा	jicha
मुकुट	mukut
आहे,	ahe,
रत्नांची	ratnanchi
खाण	khan
असलेला	aslela
समुद्र	samudra
जिचे	jiche
पाय	pay
धूत	dhut
आहे,	ahe,
ऋषी	rishi
आणि	ani
मुनी	muni
यांच्या	yanchya
तपाने	tapane
पावन	pawan
झालेल्या	zalelya
भारतमातेला	Bharatmatela
वंदन	vandan
असो'	aso'
असे	ase
म्हटले	mhantle
आहे.	ahe.
</s>	</s>
त्याचा	tyacha
उद्देश	uddesh
म्हणजे	mhanje
संततिदायी	santatidayi
आंब्याचे	ambyache
स्मरण	smaran
आणि	ani
कृतज्ञता	krutadnyata
व्यक्त	vyakta
करणे.	karne.
</s>	</s>
हिंदू	Hindu
जीवनदृष्टीमधे	jeevandrushtimadhe
भूमीला	bhumila
माता	Mata
मानले	manle
गेले	gele
आहे	ahe
आणि	ani
त्यामुळेच	tyamulech
भारत	Bharat
देशाला	deshala
"भारतमाता"	"Bharatmata"
संबोधण्याची	sambodhnyachi
परंपरा	parampara
भारतीय	Bharatiya
संस्कृतीत	sanskrutit
स्वीकारली	sweekarli
गेली	geli
आहे.	ahe.
</s>	</s>
शिवरात्रीला	Shivratrila
या	ya
मंदिरात	mandirat
भाविकांची	bhavikanchi
खूप	khup
गर्दी	gardi
होते.	hote.
</s>	</s>
याच्या	yachya
बियांवर	biyanwar
असलेले	aslele
केस	kes
हे	he
मानवी	manavi
त्वचेच्या	tvachechya
संपर्कात	samparkat
आल्यास	alyas
खाजकुयलीसारख्या	khajkuyalisarkhya
वेदना	vedna
देतात.	detat.
</s>	</s>
अभ्यासक,	abhyasak,
विश्लेषक,	vishleshak,
क्रांतिकारक	krantikarak
हे	he
भारतमातेला	Bharatmatela
वंदन	vandan
करतात	kartat
आणि	ani
भारतातील	Bharatatil
सर्व	sarva
राज्ये	rajye
ही	hi
जणू	janu
काही	kahi
तिची	tichi
अपत्ये	apatye
आहेत	ahet
असेही	asehi
नोंदवताना	nondavtana
दिसतात.	distat.
</s>	</s>
परंतु	parantu
इंग्रजी	Ingraji
अमलात	amlat
इंग्रजांनी	Ingrajanni
हिंदुस्थानात	Hindustanat
आपली	apli
बाजारपेठ	bajarpeth
बनविल्याने	banavilyane
यंत्रयुगातील	yantrayugatil
त्यांच्या	tyanchya
कारखान्यातील	karkhanyatil
सुबक	subak
वस्तू,	vastu,
कापड,	kapad,
हत्त्यारे	hattyare
व	va
अवजारे	avajare
येथे	yethe
आली.	aali.
</s>	</s>
तसेच	tasech
हा	ha
संघ	sangha
जपानच्या	Japanchya
५९	59
ठिकाणी	thikani
देशान्तर्गत	deshantargat
विमान	viman
सेवा	seva
देतो.	deto.
</s>	</s>
मदालसा	Madalsa
</s>	</s>
आष्टी	Ashti
